participantId,appMode,appType,selections
9FAclgaxGnVv,practice,CTRL,"[{'idSelected': 3, 'botChoice': 3, 'recommendationShown': True, 'savedAt': 1617646626679}]"
9FAclgaxGnVv,service,CTRL,"[{'idSelected': 16, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617646652988}, {'idSelected': 1, 'botChoice': 1, 'recommendationShown': True, 'savedAt': 1617646673886}, {'idSelected': 12, 'botChoice': 9, 'recommendationShown': True, 'savedAt': 1617646683117}, {'idSelected': 18, 'botChoice': 13, 'recommendationShown': True, 'savedAt': 1617646697451}, {'idSelected': 36, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617646699374}, {'idSelected': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617646709756}, {'idSelected': 3, 'botChoice': 10, 'recommendationShown': False, 'savedAt': 1617646718902}, {'idSelected': 50, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1617646719654}, {'idSelected': 30, 'botChoice': 27, 'recommendationShown': False, 'savedAt': 1617646720490}, {'idSelected': 34, 'botChoice': 38, 'recommendationShown': False, 'savedAt': 1617646721798}, {'idSelected': 44, 'botChoice': 43, 'recommendationShown': False, 'savedAt': 1617646722909}, {'idSelected': 2, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617646723853}, {'idSelected': 22, 'botChoice': 24, 'recommendationShown': False, 'savedAt': 1617646727159}, {'idSelected': 47, 'botChoice': 46, 'recommendationShown': False, 'savedAt': 1617646728367}, {'idSelected': 19, 'botChoice': 41, 'recommendationShown': False, 'savedAt': 1617646729526}]"
9FAclgaxGnVv,cooking,CTRL,"[{'idSelected': 1, 'botChoice': 3, 'recommendationShown': False, 'savedAt': 1617646739036}]"
