participantId,appMode,appType,selections
kdSlRblQt77j,practice,BTWN,"[{'selectedId': 2, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1617919706053}]"
kdSlRblQt77j,movies,BTWN,"[{'selectedId': 2, 'botChoice': 12, 'recommendationShown': False, 'savedAt': 1617919996664}, {'selectedId': 6, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617920038268}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617920080376}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1617920101894}, {'selectedId': 10, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1617920120522}, {'selectedId': 40, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1617920143846}]"
kdSlRblQt77j,hiring,BTWN,"[{'selectedId': 28, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617920219987}, {'selectedId': 4, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1617920243634}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1617920283833}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617920297790}, {'selectedId': 48, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617920327395}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617920343478}]"
