participantId,appMode,appType,selections
BDIPCGcOdllu,practice,CTRL,"[{'selectedId': 3, 'botChoice': 2, 'recommendationShown': True, 'savedAt': 1617898490218}]"
BDIPCGcOdllu,hiring,CTRL,"[{'selectedId': 8, 'botChoice': 8, 'recommendationShown': True, 'savedAt': 1617899082706}, {'selectedId': 1, 'botChoice': 1, 'recommendationShown': True, 'savedAt': 1617899144267}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1617899176331}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617899197770}, {'selectedId': 48, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617899221234}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617899247450}]"
BDIPCGcOdllu,movies,CTRL,"[{'selectedId': 12, 'botChoice': 12, 'recommendationShown': False, 'savedAt': 1617899285450}, {'selectedId': 6, 'botChoice': 6, 'recommendationShown': True, 'savedAt': 1617899341435}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617899350770}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1617899380586}, {'selectedId': 10, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1617899407460}, {'selectedId': 3, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1617899426146}]"
