participantId,appMode,appType,selections
JVzJHaGvh3S3,practice,BOTH,"[{'selectedId': 1, 'botChoice': 2, 'recommendationShown': True, 'savedAt': 1617829820568}]"
JVzJHaGvh3S3,movies,BOTH,"[{'selectedId': 4, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1617829833294}, {'selectedId': 45, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1617829842214}, {'selectedId': 39, 'botChoice': 39, 'recommendationShown': True, 'savedAt': 1617829867191}, {'selectedId': 42, 'botChoice': 5, 'recommendationShown': False, 'savedAt': 1617829870435}, {'selectedId': 50, 'botChoice': 3, 'recommendationShown': False, 'savedAt': 1617829900745}, {'selectedId': 25, 'botChoice': 34, 'recommendationShown': False, 'savedAt': 1617829970582}]"
JVzJHaGvh3S3,hiring,BOTH,"[{'selectedId': 16, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617830001029}, {'selectedId': 1, 'botChoice': 1, 'recommendationShown': True, 'savedAt': 1617830007190}, {'selectedId': 9, 'botChoice': 9, 'recommendationShown': True, 'savedAt': 1617830011614}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617830013703}, {'selectedId': 48, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617830058520}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': True, 'savedAt': 1617830066984}]"
