participantId,appMode,appType,selections
38vsTr4jwSxV,practice,BTWN,"[{'selectedId': 2, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1617929430116}]"
38vsTr4jwSxV,movies,BTWN,"[{'selectedId': 12, 'botChoice': 12, 'recommendationShown': True, 'savedAt': 1617929804801}, {'selectedId': 6, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617929816547}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617929831581}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1617929859707}, {'selectedId': 15, 'botChoice': 15, 'recommendationShown': True, 'savedAt': 1617929885115}, {'selectedId': 40, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1617929901231}]"
38vsTr4jwSxV,hiring,BTWN,"[{'selectedId': 28, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617929965997}, {'selectedId': 4, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1617929985408}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1617930004239}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617930019633}, {'selectedId': 48, 'botChoice': 48, 'recommendationShown': True, 'savedAt': 1617930040587}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': True, 'savedAt': 1617930056089}]"
