participantId,appMode,appType,selections
TQlGREhp537U,practice,BTWN,"[{'selectedId': 3, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1617839098544}]"
TQlGREhp537U,movies,BTWN,"[{'selectedId': 12, 'botChoice': 12, 'recommendationShown': True, 'savedAt': 1617839142546}, {'selectedId': 26, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617839144860}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': True, 'savedAt': 1617839150980}, {'selectedId': 20, 'botChoice': 20, 'recommendationShown': True, 'savedAt': 1617839156324}, {'selectedId': 15, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1617839158636}, {'selectedId': 42, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1617839173674}]"
TQlGREhp537U,hiring,BTWN,"[{'selectedId': 8, 'botChoice': 8, 'recommendationShown': True, 'savedAt': 1617839211344}, {'selectedId': 1, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1617839216438}, {'selectedId': 9, 'botChoice': 9, 'recommendationShown': True, 'savedAt': 1617839223076}, {'selectedId': 25, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617839224319}, {'selectedId': 35, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617839229801}, {'selectedId': 42, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617839249666}]"
