participantId,appMode,appType,selections
zLYXj9oegzzF,practice,BOTH,"[{'selectedId': 2, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1617832947925}]"
zLYXj9oegzzF,hiring,BOTH,"[{'selectedId': 28, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617833131976}, {'selectedId': 1, 'botChoice': 1, 'recommendationShown': True, 'savedAt': 1617833138475}, {'selectedId': 9, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1617833139748}, {'selectedId': 13, 'botChoice': 13, 'recommendationShown': True, 'savedAt': 1617833149517}, {'selectedId': 36, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617833151388}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': True, 'savedAt': 1617833159907}]"
zLYXj9oegzzF,movies,BOTH,"[{'selectedId': 12, 'botChoice': 12, 'recommendationShown': True, 'savedAt': 1617833283149}, {'selectedId': 6, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617833317718}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': True, 'savedAt': 1617833365584}, {'selectedId': 20, 'botChoice': 20, 'recommendationShown': True, 'savedAt': 1617833557446}, {'selectedId': 10, 'botChoice': 15, 'recommendationShown': True, 'savedAt': 1617833576236}, {'selectedId': 40, 'botChoice': 47, 'recommendationShown': True, 'savedAt': 1617833593245}]"
