participantId,appMode,appType,selections
nyEXxPkdgP81,practice,CTRL,"[{'selectedId': 3, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1617987027595}]"
nyEXxPkdgP81,movies,CTRL,"[{'selectedId': 12, 'botChoice': 12, 'recommendationShown': True, 'savedAt': 1617987722931}, {'selectedId': 7, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617987737922}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617987761875}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': True, 'savedAt': 1617987795075}, {'selectedId': 15, 'botChoice': 15, 'recommendationShown': True, 'savedAt': 1617987809563}, {'selectedId': 40, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1617987820867}]"
nyEXxPkdgP81,hiring,CTRL,"[{'selectedId': 8, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617987854139}, {'selectedId': 1, 'botChoice': 1, 'recommendationShown': True, 'savedAt': 1617987894963}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1617987909258}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617987927211}, {'selectedId': 48, 'botChoice': 48, 'recommendationShown': True, 'savedAt': 1617987958259}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617987977211}]"
