participantId,appMode,appType,selections
0jjk2LtlRwXu,practice,CTRL,"[{'selectedId': 2, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1618276974053}]"
0jjk2LtlRwXu,movies,CTRL,"[{'selectedId': 12, 'botChoice': 12, 'recommendationShown': False, 'savedAt': 1618277214794}, {'selectedId': 7, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1618277245744}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1618277263191}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1618277284854}, {'selectedId': 10, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1618277305381}, {'selectedId': 47, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1618277317013}]"
0jjk2LtlRwXu,hiring,CTRL,"[{'selectedId': 8, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1618277342664}, {'selectedId': 5, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1618277361590}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1618277376447}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1618277388733}, {'selectedId': 32, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1618277407896}, {'selectedId': 42, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1618277436118}]"
