participantId,appMode,appType,selections
TlJaxdq1DM23,practice,BOTH,"[{'selectedId': 2, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1618000990505}]"
TlJaxdq1DM23,hiring,BOTH,"[{'selectedId': 8, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1618001852148}, {'selectedId': 4, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1618001867228}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': True, 'savedAt': 1618001898108}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1618001905880}, {'selectedId': 35, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1618001927416}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1618001943716}]"
TlJaxdq1DM23,movies,BOTH,"[{'selectedId': 2, 'botChoice': 12, 'recommendationShown': False, 'savedAt': 1618001992732}, {'selectedId': 6, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1618002004321}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1618002014689}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1618002033520}, {'selectedId': 10, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1618002042900}, {'selectedId': 40, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1618002057956}]"
