participantId,appMode,appType,selections
WvfHfFBIfx6m,practice,CTRL,"[{'selectedId': 3, 'botChoice': 2, 'recommendationShown': True, 'savedAt': 1617902071771}]"
WvfHfFBIfx6m,movies,CTRL,"[{'selectedId': 2, 'botChoice': 12, 'recommendationShown': False, 'savedAt': 1617902292592}, {'selectedId': 7, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617902323598}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': True, 'savedAt': 1617902358068}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': True, 'savedAt': 1617902382518}, {'selectedId': 15, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1617902409103}, {'selectedId': 47, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1617902421481}]"
WvfHfFBIfx6m,hiring,CTRL,"[{'selectedId': 8, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617902462122}, {'selectedId': 4, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1617902475070}, {'selectedId': 9, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1617902483289}, {'selectedId': 25, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617902490707}, {'selectedId': 35, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617902502440}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617902514994}]"
