participantId,appMode,appType,selections
YqgrTs5hzcsj,practice,CTRL,"[{'selectedId': 2, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1618002999819}]"
YqgrTs5hzcsj,movies,CTRL,"[{'selectedId': 12, 'botChoice': 12, 'recommendationShown': False, 'savedAt': 1618003635847}, {'selectedId': 6, 'botChoice': 6, 'recommendationShown': True, 'savedAt': 1618003701398}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1618003715754}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1618003754392}, {'selectedId': 15, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1618003780371}, {'selectedId': 47, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1618003814768}]"
YqgrTs5hzcsj,hiring,CTRL,"[{'selectedId': 8, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1618003850367}, {'selectedId': 1, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1618003885885}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1618003905655}, {'selectedId': 25, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1618003931237}, {'selectedId': 48, 'botChoice': 48, 'recommendationShown': True, 'savedAt': 1618003956050}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1618003971011}]"
