task,appMode,selectedId,botChoice,recommendationShown,savedAt
0,practice,3,2,False,1617897277214
0,movies,12,12,True,1617897553017
1,movies,6,6,True,1617897562706
2,movies,37,45,True,1617897576938
3,movies,48,20,True,1617897589467
4,movies,15,15,True,1617897607815
5,movies,42,47,True,1617897620378
0,hiring,8,8,True,1617897645372
1,hiring,5,1,True,1617897659144
2,hiring,9,9,True,1617897669207
3,hiring,13,13,True,1617897681847
4,hiring,48,48,True,1617897692153
5,hiring,42,45,True,1617897703778
