participantId,appMode,appType,selections
mYSzFPXnkOdd,practice,BTWN,"[{'selectedId': 2, 'botChoice': 2, 'recommendationShown': False, 'savedAt': 1617901429590}]"
mYSzFPXnkOdd,hiring,BTWN,"[{'selectedId': 28, 'botChoice': 8, 'recommendationShown': False, 'savedAt': 1617901578524}, {'selectedId': 4, 'botChoice': 1, 'recommendationShown': False, 'savedAt': 1617901597278}, {'selectedId': 12, 'botChoice': 9, 'recommendationShown': False, 'savedAt': 1617901616159}, {'selectedId': 18, 'botChoice': 13, 'recommendationShown': False, 'savedAt': 1617901629320}, {'selectedId': 48, 'botChoice': 48, 'recommendationShown': False, 'savedAt': 1617901640335}, {'selectedId': 37, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617901653722}]"
mYSzFPXnkOdd,movies,BTWN,"[{'selectedId': 2, 'botChoice': 12, 'recommendationShown': False, 'savedAt': 1617901668742}, {'selectedId': 6, 'botChoice': 6, 'recommendationShown': False, 'savedAt': 1617901678603}, {'selectedId': 45, 'botChoice': 45, 'recommendationShown': False, 'savedAt': 1617901686496}, {'selectedId': 48, 'botChoice': 20, 'recommendationShown': False, 'savedAt': 1617901693365}, {'selectedId': 10, 'botChoice': 15, 'recommendationShown': False, 'savedAt': 1617901702400}, {'selectedId': 40, 'botChoice': 47, 'recommendationShown': False, 'savedAt': 1617901710066}]"
